frame,t_s,min_z,mean_z,v_max
144,0.028800,0.095935,0.295908,0.282243
145,0.029000,0.095878,0.295851,0.284203
146,0.029200,0.095821,0.295794,0.286163
147,0.029400,0.095764,0.295737,0.288123
148,0.029600,0.095706,0.295679,0.290083
149,0.029800,0.095648,0.295621,0.292043
150,0.030000,0.095589,0.295562,0.294002
151,0.030200,0.095530,0.295503,0.295962
152,0.030400,0.095471,0.295444,0.297922
153,0.030600,0.095411,0.295384,0.299882
154,0.030800,0.095351,0.295324,0.301842
155,0.031000,0.095290,0.295263,0.303801
156,0.031200,0.095229,0.295202,0.305761
157,0.031400,0.095168,0.295141,0.307721
158,0.031600,0.095106,0.295079,0.309681
159,0.031800,0.095044,0.295017,0.311641
160,0.032000,0.094981,0.294954,0.313601
161,0.032200,0.094918,0.294892,0.315560
162,0.032400,0.094855,0.294828,0.317520
163,0.032600,0.094791,0.294764,0.319480
164,0.032800,0.094727,0.294700,0.321440
165,0.033000,0.094663,0.294636,0.323400
166,0.033200,0.094598,0.294571,0.325359
167,0.033400,0.094533,0.294506,0.327319
168,0.033600,0.094467,0.294440,0.329279
169,0.033800,0.094401,0.294374,0.331239
170,0.034000,0.094334,0.294308,0.333199
171,0.034200,0.094268,0.294241,0.335159
172,0.034400,0.094200,0.294173,0.337118
173,0.034600,0.094133,0.294106,0.339078
174,0.034800,0.094065,0.294038,0.341038
175,0.035000,0.093996,0.293969,0.342998
176,0.035200,0.093928,0.293901,0.344958
177,0.035400,0.093858,0.293831,0.346918
178,0.035600,0.093789,0.293762,0.348877
179,0.035800,0.093719,0.293692,0.350837
180,0.036000,0.093648,0.293622,0.352797
181,0.036200,0.093578,0.293551,0.354757
182,0.036400,0.093506,0.293480,0.356717
183,0.036600,0.093435,0.293408,0.358676
184,0.036800,0.093363,0.293336,0.360636
185,0.037000,0.093291,0.293264,0.362596
186,0.037200,0.093218,0.293191,0.364556
187,0.037400,0.093145,0.293118,0.366516
188,0.037600,0.093071,0.293044,0.368475
189,0.037800,0.092997,0.292971,0.370435
190,0.038000,0.092923,0.292896,0.372395
191,0.038200,0.092848,0.292821,0.374355
192,0.038400,0.092773,0.292746,0.376315
193,0.038600,0.092698,0.292671,0.378275
194,0.038800,0.092622,0.292595,0.380234
195,0.039000,0.092546,0.292519,0.382194
196,0.039200,0.092469,0.292442,0.384154
