frame,t_s,min_z,mean_z,v_max
144,0.057600,0.083741,0.283714,0.564459
145,0.058000,0.083514,0.283487,0.568378
146,0.058400,0.083286,0.283259,0.572298
147,0.058800,0.083057,0.283030,0.576217
148,0.059200,0.082825,0.282798,0.580137
149,0.059600,0.082592,0.282565,0.584057
150,0.060000,0.082358,0.282331,0.587977
151,0.060400,0.082122,0.282095,0.591896
152,0.060800,0.081884,0.281857,0.595816
153,0.061200,0.081645,0.281618,0.599735
154,0.061600,0.081405,0.281378,0.603655
155,0.062000,0.081162,0.281135,0.607575
156,0.062400,0.080918,0.280892,0.611494
157,0.062800,0.080673,0.280646,0.615414
158,0.063200,0.080426,0.280399,0.619334
159,0.063600,0.080178,0.280151,0.623253
160,0.064000,0.079927,0.279901,0.627173
161,0.064400,0.079676,0.279649,0.631093
162,0.064800,0.079423,0.279396,0.635013
163,0.065200,0.079168,0.279141,0.638932
164,0.065600,0.078911,0.278885,0.642852
165,0.066000,0.078653,0.278627,0.646772
166,0.066400,0.078394,0.278367,0.650691
167,0.066800,0.078133,0.278106,0.654611
168,0.067200,0.077870,0.277843,0.658531
169,0.067600,0.077606,0.277579,0.662450
170,0.068000,0.077340,0.277313,0.666370
171,0.068400,0.077073,0.277046,0.670290
172,0.068800,0.076804,0.276777,0.674209
173,0.069200,0.076533,0.276507,0.678129
174,0.069600,0.076261,0.276235,0.682049
175,0.070000,0.075988,0.275961,0.685969
176,0.070400,0.075713,0.275686,0.689888
177,0.070800,0.075436,0.275409,0.693808
178,0.071200,0.075157,0.275131,0.697727
179,0.071600,0.074878,0.274851,0.701648
180,0.072000,0.074596,0.274569,0.705567
181,0.072400,0.074313,0.274286,0.709487
182,0.072800,0.074028,0.274002,0.713406
183,0.073200,0.073742,0.273715,0.717326
184,0.073600,0.073455,0.273428,0.721246
185,0.074000,0.073165,0.273138,0.725165
186,0.074400,0.072874,0.272848,0.729085
187,0.074800,0.072582,0.272555,0.733005
188,0.075200,0.072288,0.272261,0.736924
189,0.075600,0.071992,0.271966,0.740844
190,0.076000,0.071695,0.271668,0.744764
191,0.076400,0.071397,0.271370,0.748684
192,0.076800,0.071096,0.271069,0.752603
193,0.077200,0.070794,0.270768,0.756523
194,0.077600,0.070491,0.270464,0.760443
195,0.078000,0.070186,0.270159,0.764362
196,0.078400,0.069879,0.269853,0.768282
197,0.078800,0.069571,0.269545,0.772202
198,0.079200,0.069262,0.269235,0.776121
199,0.079600,0.068950,0.268924,0.780041
200,0.080000,0.068638,0.268611,0.783961
201,0.080400,0.068323,0.268296,0.787880
202,0.080800,0.068007,0.267980,0.791800
203,0.081200,0.067690,0.267663,0.795720
204,0.081600,0.067371,0.267344,0.799639
