kernel,num_grids,ms_per_step,particles_per_sec,steps_per_sec,elapsed_s,runs,n_particles,particles_per_active_cell
cuda_v1,32,57.62304559990298,173541677.56826857,17.354167756826858,2.881152279995149,1,10000000,596.0464477539061
cuda_v1,64,53.74651037971489,186058591.1410952,18.60585911410952,2.687325518985745,1,10000000,74.50580596923827
cuda_v1,96,52.29280194005696,191230908.06002253,19.123090806002253,2.614640097002848,1,10000000,22.075794361255777
cuda_v1,128,60.30453334009508,165825012.58410755,16.582501258410755,3.015226667004754,1,10000000,9.313225746154783
cuda_v1,164,106.20186404004926,94160305.85140154,9.416030585140152,5.310093202002463,1,10000000,4.4279070421206885
cuda_v1,196,131.24145208013942,76195438.57144876,7.619543857144876,6.562072604006971,1,10000000,2.5939513404278816
cuda_v2,32,55.82632459991146,179126963.3397263,17.91269633397263,2.791316229995573,1,10000000,596.0464477539061
cuda_v2,64,57.09561766008847,175144790.6130683,17.514479061306833,2.8547808830044232,1,10000000,74.50580596923827
cuda_v2,96,57.62144371983595,173546502.03874603,17.354650203874602,2.8810721859917976,1,10000000,22.075794361255777
cuda_v2,128,65.618859899987,152395210.99942154,15.239521099942154,3.28094299499935,1,10000000,9.313225746154783
cuda_v2,164,106.34946681995643,94029620.44868007,9.402962044868008,5.317473340997822,1,10000000,4.4279070421206885
cuda_v2,196,131.68729442026233,75937470.23221801,7.593747023221801,6.584364721013117,1,10000000,2.5939513404278816
cuda_v3,32,54.44392358011101,183675226.58953103,18.367522658953103,2.72219617900555,1,10000000,596.0464477539061
cuda_v3,64,54.61834779998753,183088657.98394367,18.30886579839437,2.7309173899993766,1,10000000,74.50580596923827
cuda_v3,96,54.709116499871016,182784892.8984912,18.27848928984912,2.7354558249935508,1,10000000,22.075794361255777
cuda_v3,128,54.87644192005973,182227557.94858783,18.222755794858784,2.7438220960029867,1,10000000,9.313225746154783
cuda_v3,164,54.82387121999636,182402296.2528888,18.24022962528888,2.741193560999818,1,10000000,4.4279070421206885
cuda_v3,196,55.10371031996328,181475983.0496776,18.14759830496776,2.755185515998164,1,10000000,2.5939513404278816
cuda_v4,32,62.19497251993744,160784700.03012487,16.078470003012487,3.109748625996872,1,10000000,596.0464477539061
cuda_v4,64,52.07881257985719,192016666.752263,19.201666675226303,2.6039406289928597,1,10000000,74.50580596923827
cuda_v4,96,49.93024689989397,200279402.183794,20.027940218379403,2.4965123449946987,1,10000000,22.075794361255777
cuda_v4,128,51.15070658008335,195500720.6859136,19.55007206859136,2.557535329004168,1,10000000,9.313225746154783
cuda_v4,164,54.39121852017706,183853207.780046,18.3853207780046,2.719560926008853,1,10000000,4.4279070421206885
cuda_v4,196,58.17250866006361,171902505.6738728,17.19025056738728,2.9086254330031807,1,10000000,2.5939513404278816
cutile_v1,32,60.21093547984492,166082787.45888963,16.608278745888963,3.010546773992246,1,10000000,596.0464477539061
cutile_v1,64,61.04088641994167,163824619.6361438,16.38246196361438,3.052044320997084,1,10000000,74.50580596923827
cutile_v1,96,61.56251364009222,162436512.23311257,16.243651223311257,3.078125682004611,1,10000000,22.075794361255777
cutile_v1,128,69.41719524009386,144056526.13034728,14.405652613034729,3.470859762004693,1,10000000,9.313225746154783
cutile_v1,164,99.96071922010742,100039296.2157526,10.00392962157526,4.998035961005371,1,10000000,4.4279070421206885
cutile_v1,196,113.71228931995574,87941242.4092764,8.79412424092764,5.685614465997787,1,10000000,2.5939513404278816
cutile_v3,32,34.55712710012449,289375907.0603984,28.93759070603984,1.7278563550062245,1,10000000,596.0464477539061
cutile_v3,64,34.281017599860206,291706626.58627665,29.170662658627663,1.7140508799930103,1,10000000,74.50580596923827
cutile_v3,96,35.86820809985511,278798427.068354,27.8798427068354,1.7934104049927555,1,10000000,22.075794361255777
cutile_v3,128,39.65436967991991,252179017.8665676,25.21790178665676,1.9827184839959957,1,10000000,9.313225746154783
cutile_v3,164,47.773586320108734,209320688.90525863,20.932068890525866,2.3886793160054367,1,10000000,4.4279070421206885
cutile_v3,196,59.69077154004481,167530084.50043723,16.753008450043723,2.9845385770022403,1,10000000,2.5939513404278816
jax,32,77.09386696020374,129712004.26568373,12.971200426568371,3.854693348010187,1,10000000,596.0464477539061
jax,64,77.084156399942,129728344.53965074,12.972834453965074,3.8542078199971,1,10000000,74.50580596923827
jax,96,80.56602348020533,124121801.82204165,12.412180182204164,4.0283011740102665,1,10000000,22.075794361255777
jax,128,98.70667570008663,101310270.34467562,10.13102703446756,4.935333785004332,1,10000000,9.313225746154783
jax,164,136.2108198198257,73415606.87489882,7.341560687489882,6.810540990991285,1,10000000,4.4279070421206885
jax,196,157.68814310024027,63416308.94621628,6.341630894621628,7.884407155012013,1,10000000,2.5939513404278816
