kernel,num_grids,ms_per_step,particles_per_sec,steps_per_sec,elapsed_s,runs,n_particles,active_grid_cells,particles_per_active_cell
cuda_v1,32,55.698532160022296,179537944.93668032,17.95379449366803,2.784926608001115,1,10000000,16777.216000000004,596.0464477539061
cuda_v1,64,53.74677470012102,186057676.1265171,18.60576761265171,2.687338735006051,1,10000000,134217.72800000003,74.50580596923827
cuda_v1,96,52.299661920114886,191205824.91096213,19.12058249109621,2.6149830960057443,1,10000000,452984.8320000002,22.075794361255777
cuda_v1,128,60.29790127999149,165843251.38557145,16.584325138557144,3.014895063999574,1,10000000,1073741.8240000005,9.313225746154783
cuda_v1,160,101.77382568013854,98257090.49622108,9.825709049622107,5.088691284006927,1,10000000,2097152.0,4.76837158203125
cuda_v1,192,128.8601235000533,77603526.43147872,7.760352643147873,6.443006175002665,1,10000000,3623878.656000002,2.759474295156972
cuda_v2,32,58.89858718001051,169783359.4791877,16.97833594791877,2.944929359000525,1,10000000,16777.216000000004,596.0464477539061
cuda_v2,64,57.44138876005309,174090498.43436894,17.409049843436893,2.8720694380026544,1,10000000,134217.72800000003,74.50580596923827
cuda_v2,96,57.61718596011633,173559326.67246512,17.35593266724651,2.8808592980058165,1,10000000,452984.8320000002,22.075794361255777
cuda_v2,128,65.61391088005621,152406705.61887765,15.240670561887764,3.2806955440028105,1,10000000,1073741.8240000005,9.313225746154783
cuda_v2,160,101.41364815994166,98606057.2855912,9.860605728559122,5.070682407997083,1,10000000,2097152.0,4.76837158203125
cuda_v2,192,129.35376848006854,77307372.77701229,7.730737277701229,6.467688424003427,1,10000000,3623878.656000002,2.759474295156972
cuda_v3,32,54.44887798017589,183658513.654604,18.3658513654604,2.7224438990087947,1,10000000,16777.216000000004,596.0464477539061
cuda_v3,64,54.6052036198671,183132729.79650027,18.313272979650023,2.730260180993355,1,10000000,134217.72800000003,74.50580596923827
cuda_v3,96,54.69435279985191,182834232.20298305,18.283423220298303,2.734717639992596,1,10000000,452984.8320000002,22.075794361255777
cuda_v3,128,54.86667838005815,182259985.39096183,18.225998539096185,2.743333919002908,1,10000000,1073741.8240000005,9.313225746154783
cuda_v3,160,55.41273944021668,180463916.80001187,18.046391680001182,2.770636972010834,1,10000000,2097152.0,4.76837158203125
cuda_v3,192,55.68146136007272,179592987.60737374,17.959298760737376,2.784073068003636,1,10000000,3623878.656000002,2.759474295156972
cuda_v4,32,62.20428947999608,160760617.69366956,16.076061769366955,3.110214473999804,1,10000000,16777.216000000004,596.0464477539061
cuda_v4,64,52.036492679908406,192172828.816748,19.2172828816748,2.6018246339954203,1,10000000,134217.72800000003,74.50580596923827
cuda_v4,96,49.91211380023742,200352163.80582207,20.03521638058221,2.495605690011871,1,10000000,452984.8320000002,22.075794361255777
cuda_v4,128,51.16672603995539,195439512.62762323,19.543951262762324,2.5583363019977696,1,10000000,1073741.8240000005,9.313225746154783
cuda_v4,160,55.9824264398776,178627484.30062267,17.86274843006227,2.79912132199388,1,10000000,2097152.0,4.76837158203125
cuda_v4,192,57.64062033995288,173488764.36481765,17.348876436481767,2.882031016997644,1,10000000,3623878.656000002,2.759474295156972
cutile_v1,32,64.56580491998466,154880745.50286853,15.488074550286852,3.228290245999233,1,10000000,16777.216000000004,596.0464477539061
cutile_v1,64,61.31765239988454,163085173.8221281,16.30851738221281,3.065882619994227,1,10000000,134217.72800000003,74.50580596923827
cutile_v1,96,61.5611279400764,162440168.57088777,16.244016857088777,3.07805639700382,1,10000000,452984.8320000002,22.075794361255777
cutile_v1,128,69.41894243995193,144052900.3830633,14.405290038306328,3.4709471219975967,1,10000000,1073741.8240000005,9.313225746154783
cutile_v1,160,97.59885107981972,102460222.52681698,10.246022252681698,4.879942553990986,1,10000000,2097152.0,4.76837158203125
cutile_v1,192,112.39227910002228,88974083.27399972,8.89740832739997,5.619613955001114,1,10000000,3623878.656000002,2.759474295156972
cutile_v3,32,34.55261641996913,289413683.7122604,28.94136837122604,1.7276308209984563,1,10000000,16777.216000000004,596.0464477539061
cutile_v3,64,34.28277878003428,291691640.9886772,29.16916409886772,1.714138939001714,1,10000000,134217.72800000003,74.50580596923827
cutile_v3,96,35.86940435983706,278789129.0215287,27.878912902152877,1.7934702179918531,1,10000000,452984.8320000002,22.075794361255777
cutile_v3,128,39.64973324007588,252208506.40913072,25.220850640913078,1.9824866620037935,1,10000000,1073741.8240000005,9.313225746154783
cutile_v3,160,46.737342060077935,213961675.16641456,21.39616751664145,2.3368671030038968,1,10000000,2097152.0,4.76837158203125
cutile_v3,192,58.40407842013519,171220919.3348462,17.122091933484622,2.92020392100676,1,10000000,3623878.656000002,2.759474295156972
jax,32,77.06856402015546,129754590.95597962,12.975459095597962,3.853428201007773,1,10000000,16777.216000000004,596.0464477539061
jax,64,77.08413795975503,129728375.57346642,12.972837557346642,3.8542068979877513,1,10000000,134217.72800000003,74.50580596923827
jax,96,80.56399421999231,124124928.2240584,12.412492822405838,4.028199710999616,1,10000000,452984.8320000002,22.075794361255777
jax,128,98.69088475999888,101326480.39703432,10.132648039703431,4.934544237999944,1,10000000,1073741.8240000005,9.313225746154783
jax,160,133.3200696198037,75007461.58112249,7.500746158112248,6.6660034809901845,1,10000000,2097152.0,4.76837158203125
jax,192,155.6394675798947,64251055.05367192,6.425105505367192,7.781973378994735,1,10000000,3623878.656000002,2.759474295156972
