kernel,n_particles,ms_per_step,particles_per_sec,steps_per_sec,elapsed_s,runs,num_grids,active_grid_cells,particles_per_active_cell
cuda_v1,262144,1.123016199853737,233428511.56923825,890.4591048020868,0.0561508099926868,1,96,452984.8320000002,0.5787037037037034
cuda_v1,524288,2.6793100000941195,195680231.09740293,373.2304212520655,0.1339655000047059,1,96,452984.8320000002,1.1574074074074068
cuda_v1,1048576,5.511489060008898,190252759.02449256,181.43916990708595,0.2755744530004449,1,96,452984.8320000002,2.314814814814813
cuda_v1,2097152,10.847303160117008,193333953.0613228,92.18881276193753,0.5423651580058504,1,96,452984.8320000002,4.629629629629627
cuda_v1,4194304,21.47819003992481,195282004.31243983,46.55885799227711,1.0739095019962406,1,96,452984.8320000002,9.259259259259254
cuda_v1,8388608,43.059200560092,194815693.066413,23.223840363790156,2.1529600280046,1,96,452984.8320000002,18.51851851851851
cuda_v1,16777216,85.81132799998159,195512834.85559857,11.653473070597563,4.290566399999079,1,96,452984.8320000002,37.03703703703702
cuda_v2,262144,1.2904508001520298,203141413.81377456,774.9229958106024,0.0645225400076014,1,96,452984.8320000002,0.5787037037037034
cuda_v2,524288,2.9581466401577927,177235297.5618658,338.04950249074136,0.1479073320078896,1,96,452984.8320000002,1.1574074074074068
cuda_v2,1048576,6.05731391988229,173109073.40598533,165.0896772441724,0.3028656959941145,1,96,452984.8320000002,2.314814814814813
cuda_v2,2097152,11.910337499866728,176078301.72935623,83.96067701785861,0.5955168749933364,1,96,452984.8320000002,4.629629629629627
cuda_v2,4194304,23.62726648017997,177519646.78260368,42.32398194851963,1.1813633240089985,1,96,452984.8320000002,9.259259259259254
cuda_v2,8388608,46.9604162601172,178631465.9890339,21.29453015196728,2.34802081300586,1,96,452984.8320000002,18.51851851851851
cuda_v2,16777216,93.80769673996838,178846902.57885608,10.66010609739161,4.690384836998419,1,96,452984.8320000002,37.03703703703702
cuda_v3,262144,1.557602419925388,168299687.16442877,642.0123564316893,0.0778801209962694,1,96,452984.8320000002,0.5787037037037034
cuda_v3,524288,2.887371339893434,181579692.4892072,346.33577821580354,0.1443685669946717,1,96,452984.8320000002,1.1574074074074068
cuda_v3,1048576,5.61759213975165,186659332.66674587,178.01221148180568,0.2808796069875825,1,96,452984.8320000002,2.314814814814813
cuda_v3,2097152,10.76855313993292,194747796.9183392,92.86298604886017,0.538427656996646,1,96,452984.8320000002,4.629629629629627
cuda_v3,4194304,21.00067905994365,199722303.64684477,47.61750785037154,1.0500339529971825,1,96,452984.8320000002,9.259259259259254
cuda_v3,8388608,41.42801211972255,202486375.05844632,24.138256914430418,2.071400605986128,1,96,452984.8320000002,18.51851851851851
cuda_v3,16777216,82.16997547977371,204176962.47371697,12.169895319564162,4.108498773988686,1,96,452984.8320000002,37.03703703703702
cuda_v4,262144,3.367820300045423,77837882.26363038,296.9279566331115,0.1683910150022711,1,96,452984.8320000002,0.5787037037037034
cuda_v4,524288,4.456743400078267,117639260.9883694,224.3790836112392,0.2228371700039133,1,96,452984.8320000002,1.1574074074074068
cuda_v4,1048576,6.2627210799837485,167431374.73443428,159.6750018448203,0.3131360539991874,1,96,452984.8320000002,2.314814814814813
cuda_v4,2097152,10.738921420124823,195285161.14010483,93.11922127728693,0.5369460710062413,1,96,452984.8320000002,4.629629629629627
cuda_v4,4194304,19.58577765995869,214150495.978256,51.05745696503067,0.9792888829979348,1,96,452984.8320000002,9.259259259259254
cuda_v4,8388608,37.721021420147736,222385494.45852056,26.51041680079944,1.8860510710073868,1,96,452984.8320000002,18.51851851851851
cuda_v4,16777216,75.5349584002397,222111938.03936428,13.23890316720988,3.776747920011985,1,96,452984.8320000002,37.03703703703702
cutile_v1,262144,1.333897739823442,196524810.09128785,749.6826556827081,0.0666948869911721,1,96,452984.8320000002,0.5787037037037034
cutile_v1,524288,3.1505080201895908,166413796.32750452,317.4091269064036,0.1575254010094795,1,96,452984.8320000002,1.1574074074074068
cutile_v1,1048576,6.444562640099321,162707084.80286255,155.1695678738237,0.322228132004966,1,96,452984.8320000002,2.314814814814813
cutile_v1,2097152,12.774411420105023,164168189.90966538,78.28149314387578,0.6387205710052513,1,96,452984.8320000002,4.629629629629627
cutile_v1,4194304,25.303192400024276,165761850.66655764,39.52070490516606,1.2651596200012136,1,96,452984.8320000002,9.259259259259254
cutile_v1,8388608,50.69912587990984,165458631.76950926,19.72420594328752,2.534956293995492,1,96,452984.8320000002,18.51851851851851
cutile_v1,16777216,100.89463715994498,166284516.92039517,9.911329562687586,5.044731857997249,1,96,452984.8320000002,37.03703703703702
cutile_v3,262144,2.8918135797721334,90650380.03613503,345.8037568517114,0.1445906789886066,1,96,452984.8320000002,0.5787037037037034
cutile_v3,524288,4.119857280165888,127258777.26980126,242.72685483894588,0.2059928640082944,1,96,452984.8320000002,1.1574074074074068
cutile_v3,1048576,6.021152219909709,174148727.9681702,166.0811690980627,0.3010576109954854,1,96,452984.8320000002,2.314814814814813
cutile_v3,2097152,8.768906820041593,239157747.1443644,114.03930051058026,0.4384453410020796,1,96,452984.8320000002,4.629629629629627
cutile_v3,4194304,14.461522899800912,290031971.6713751,69.14901057991388,0.7230761449900456,1,96,452984.8320000002,9.259259259259254
cutile_v3,8388608,26.143868940125685,320863297.5942264,38.24988574912863,1.3071934470062845,1,96,452984.8320000002,18.51851851851851
cutile_v3,16777216,49.35519533988554,339928063.9953579,20.26129150362956,2.467759766994277,1,96,452984.8320000002,37.03703703703702
jax,262144,2.3052137400372885,113717871.55656968,433.7992536795413,0.1152606870018644,1,96,452984.8320000002,0.5787037037037034
jax,524288,4.845925160043407,108191518.16931976,206.3589442621608,0.2422962580021703,1,96,452984.8320000002,1.1574074074074068
jax,1048576,9.02728424000088,116156307.04898438,110.77528672121466,0.451364212000044,1,96,452984.8320000002,2.314814814814813
jax,2097152,17.26125883986242,121494731.03067812,57.933202281321584,0.8630629419931211,1,96,452984.8320000002,4.629629629629627
jax,4194304,33.77647760004038,124178253.56646976,29.606402770631256,1.688823880002019,1,96,452984.8320000002,9.259259259259254
jax,8388608,66.71736363990931,125733505.3776325,14.988601848796904,3.3358681819954654,1,96,452984.8320000002,18.51851851851851
jax,16777216,132.3047639001743,126807346.20152175,7.558306825251684,6.615238195008715,1,96,452984.8320000002,37.03703703703702
