kernel,n_particles,ms_per_step,particles_per_sec,steps_per_sec,elapsed_s,runs,num_grids,active_grid_cells,particles_per_active_cell
cuda_v1,142472,0.8860661598737352,160791605.01999345,1128.5838973271482,0.0443033079936867,1,32,16777.216000000004,8.491992950439451
cuda_v1,1139772,6.189229640003759,184154097.7302157,161.57099641877122,0.3094614820001879,1,64,134217.72800000003,8.491963148117064
cuda_v1,3846732,20.37033792003058,188839871.73415652,49.09098729367072,1.018516896001529,1,96,452984.8320000002,8.491966459486216
cuda_v1,9118179,41.13757228013128,221650877.6431593,24.308678042310785,2.056878614006564,1,128,1073741.8240000005,8.491965942084787
cuda_v1,17808943,116.04718407994368,153462948.2067536,8.61718453513797,5.8023592039971845,1,160,2097152.0,8.491965770721436
cuda_v1,30773854,307.3858176000067,100114749.08073094,3.2532405294680005,15.369290880000335,1,192,3623878.656000002,8.491965907591357
cuda_v2,142472,1.102297679753974,129250022.5817393,907.1959583759568,0.0551148839876987,1,32,16777.216000000004,8.491992950439451
cuda_v2,1139772,6.97017081984086,163521386.98747456,143.46850684827717,0.348508540992043,1,64,134217.72800000003,8.491963148117064
cuda_v2,3846732,22.77723467996111,168884943.8507242,43.903485829198445,1.1388617339980556,1,96,452984.8320000002,8.491966459486216
cuda_v2,9118179,45.983833860082086,198290969.5556151,21.74677307339712,2.2991916930041043,1,128,1073741.8240000005,8.491965942084787
cuda_v2,17808943,115.29368706018433,154465898.819799,8.673501780526728,5.764684353009216,1,160,2097152.0,8.491965770721436
cuda_v2,30773854,308.5516243398888,99736483.5328194,3.240948746062791,15.42758121699444,1,192,3623878.656000002,8.491965907591357
cuda_v3,142472,1.120812539884355,127114923.26334985,892.2098606277011,0.0560406269942177,1,32,16777.216000000004,8.491992950439451
cuda_v3,1139772,6.682073600240983,170571602.19828993,149.65414328329695,0.3341036800120491,1,64,134217.72800000003,8.491963148117064
cuda_v3,3846732,21.457139760022983,179275152.3745437,46.60453402382689,1.0728569880011491,1,96,452984.8320000002,8.491966459486216
cuda_v3,9118179,42.915044099790975,212470456.25299525,23.301851855836045,2.1457522049895488,1,128,1073741.8240000005,8.491965942084787
cuda_v3,17808943,83.55732403986622,213134434.40940183,11.967831802785929,4.177866201993311,1,160,2097152.0,8.491965770721436
cuda_v3,30773854,144.5502918199054,212893752.15057343,6.918007479679777,7.22751459099527,1,192,3623878.656000002,8.491965907591357
cuda_v4,142472,1.0275959598948248,138645932.4096429,973.1451261275402,0.0513797979947412,1,32,16777.216000000004,8.491992950439451
cuda_v4,1139772,6.231382900150493,182908355.6994185,160.47802165645274,0.3115691450075246,1,64,134217.72800000003,8.491963148117064
cuda_v4,3846732,19.80573208013084,194223166.5275858,50.49043357519729,0.990286604006542,1,96,452984.8320000002,8.491966459486216
cuda_v4,9118179,38.97044887999073,233976750.64198977,25.660469118010276,1.9485224439995363,1,128,1073741.8240000005,8.491965942084787
cuda_v4,17808943,76.20651022007223,233693196.9272785,13.12223846902528,3.810325511003612,1,160,2097152.0,8.491965770721436
cuda_v4,30773854,132.67868349998025,231942714.44519252,7.5370057466702916,6.633934174999013,1,192,3623878.656000002,8.491965907591357
cutile_v1,142472,0.9711909599718638,146698235.33378804,1029.6636204572692,0.0485595479985931,1,32,16777.216000000004,8.491992950439451
cutile_v1,1139772,7.120002699957695,160080276.37500367,140.44938494278122,0.3560001349978847,1,64,134217.72800000003,8.491963148117064
cutile_v1,3846732,23.8634874401032,161197394.54072705,41.90502341746892,1.19317437200516,1,96,452984.8320000002,8.491966459486216
cutile_v1,9118179,49.39323575992603,184603799.684608,20.245687179930112,2.469661787996301,1,128,1073741.8240000005,8.491965942084787
cutile_v1,17808943,108.99904719990444,163386226.3707532,9.17439212258432,5.449952359995223,1,160,2097152.0,8.491965770721436
cutile_v1,30773854,256.6354095801944,119912735.54315844,3.896578424761437,12.83177047900972,1,192,3623878.656000002,8.491965907591357
cutile_v3,142472,0.662237000069581,215137480.96984997,1510.0334168808604,0.033111850003479,1,32,16777.216000000004,8.491992950439451
cutile_v3,1139772,4.776979080052115,238596816.29327244,209.33732035290603,0.2388489540026057,1,64,134217.72800000003,8.491963148117064
cutile_v3,3846732,15.53623106010491,247597501.9371284,64.36567505537906,0.7768115530052455,1,96,452984.8320000002,8.491966459486216
cutile_v3,9118179,29.37441858026432,310412237.6102517,34.04322700949956,1.468720929013216,1,128,1073741.8240000005,8.491965942084787
cutile_v3,17808943,57.77892296027858,308225596.59416217,17.30734926795836,2.888946148013929,1,160,2097152.0,8.491965770721436
cutile_v3,30773854,96.37152835988672,319325162.9784174,10.37650867448768,4.818576417994336,1,192,3623878.656000002,8.491965907591357
jax,142472,1.2215358999674208,116633493.95118047,818.6415151831974,0.061076794998371,1,32,16777.216000000004,8.491992950439451
jax,1139772,9.413726560014766,121075537.16731414,106.2278571216999,0.4706863280007383,1,64,134217.72800000003,8.491963148117064
jax,3846732,31.558862699894235,121890704.25573008,31.68681994371589,1.5779431349947115,1,96,452984.8320000002,8.491966459486216
jax,9118179,75.83885742002167,120230964.84036396,13.185852662068156,3.7919428710010834,1,128,1073741.8240000005,8.491965942084787
jax,17808943,172.06477974017616,103501384.92544568,5.811764624405035,8.603238987008808,1,160,2097152.0,8.491965770721436
jax,30773854,388.40874655987136,79230589.61097921,2.574607314734749,19.420437327993568,1,192,3623878.656000002,8.491965907591357
